id,season,episode,title,plot,link
1,1,1,Pilot,"Walter ""Walt"" White is a high school chemistry teacher living in Albuquerque, New Mexico, with his pregnant wife, Skyler, and their teenage son Walter Jr., who has cerebral palsy. Walt is very dissatisfied with his life, needing to work a second job at a car wash in order to support himself and his family as well as lacking physical intimacy in his marriage.
During Walt's 50th birthday party, his brother-in-law Hank Schrader, a DEA agent, proudly shows the guests a news report detailing his latest drug bust, in which $700,000 of illegal drug money was confiscated. Walt appears curious and Hank offers to take him on a ride-along to a bust. Meanwhile, Skyler talks to her sister Marie Schrader, Hank's wife, about her pregnancy.
The next day, Walt collapses at the car wash and is taken to the hospital, where he is told that he has developed inoperable lung cancer and has, at best, two years to live. He decides to keep the news from his family. Returning to work, Walt lashes out at his boss Bogdan Wolynetz and storms out. He sits alone at home and ponders the news of his impending death.
Walt takes the offer to go on the ride-along with Hank and his partner Steven Gomez as they raid a meth lab. As DEA agents clear out the house, Walt observes Jesse Pinkman, a former student of his, fleeing the scene from a neighboring house. Later that night, Walt tracks down and blackmails Jesse into helping him produce crystal meth. After Walt steals chemistry supplies from the high school, he asks Jesse to purchase an RV to use as their meth lab.
The pair drive the RV into the desert and begin to cook. Due to Walt's expertise in chemistry, the batch of crystal meth they produce is unusually pure. Jesse, impressed, returns to the city and advertises  the product to his distributor, Domingo ""Krazy-8"" Molina, but encounters Krazy-8's cousin, Emilio Koyama, who believes Jesse set him up during the drug bust. To prove his loyalty, Jesse rides with them to the RV, where they meet Walt. Emilio recognizes Walt from Hank's earlier bust which leads to the two being held at gunpoint. To save his life, Walt offers to show them how he makes meth. During the cook, Emilio tosses a lit cigarette out the window of the RV, causing a brush fire. Walt synthesizes phosphine gas with red phosphorus, causing an explosion, and flees the RV, trapping Emilio and Krazy-8 inside, where they are asphyxiated by the toxic gas.
Hearing sirens, Walt attempts to flee but drives the RV into a ditch. He stumbles out and records a video message to his family[a] before unsuccessfully trying to shoot himself. He then realizes that the sirens are not the police but are from fire trucks responding to the fire. Walt returns home, meeting his wife's troubled queries with new sexual vigor, making her ask ""Walt, is that you?"".
",https://en.wikipedia.org/wiki/Pilot_(Breaking_Bad)
2,1,2,Cat's in the Bag...,"Walt and Jesse return the RV to Jesse's house, which was previously owned by Jesse's late aunt. When they open the RV to remove the two bodies inside, they notice that Krazy-8 is still alive and breathing, despite having inhaled the toxic phosphine gas. The next day, Walt is driving to Jesse's house and notices a bedraggled Krazy-8 staggering down the street. Walt tries to get Krazy-8's attention, but Krazy-8 recognizes Walt and attempts to flee only to run into a tree and collapse. Walt loads the unconscious Krazy-8 into his car's trunk and takes him to Jesse's house where he and Jesse restrain Krazy-8 to a pole in Jesse's basement using a bike lock. Walt suggests that they dispose of Emilio's corpse by dissolving it in hydrofluoric acid. Realizing they must also kill Krazy-8, Walt and Jesse toss a coin to decide who will perform which task. Jesse wins and chooses to dispose of the corpse, leaving Walt to kill Krazy-8.
Walt instructs Jesse to buy a bin made from polyethylene in which the corpse can be properly dissolved, but Jesse cannot find a bin big enough to accommodate it. Walt seemingly decides on asphyxiating Krazy-8 with a plastic bag but is unable to go through with the act. He instead gives Krazy-8 food, water, a bucket and toilet paper out of guilt. When Jesse returns home and asks if Krazy-8 is dead, Walt promises to perform his agreed upon task the following day. Meanwhile, Skyler begins to suspect that Walt is hiding something due to his recent strange behavior. After Jesse makes a call to Walt's home phone, Skyler traces his phone number online and discovers his social media website. When she questions Walt as to who he is, he claims that Jesse sells him marijuana. Skyler finds his address and confronts Jesse while he is moving Emilio's body, warning him that her brother-in-law is a DEA agent. Skyler doesn't notice the corpse.
Jesse, having decided against following Walt's instructions, decides to dissolve Emilio's corpse in the upstairs bathtub. However, the hydrofluoric acid dissolves the ceramic and metal bathtub along with the body. This causes the ceiling beneath it to collapse, spilling Emilio's liquified remains onto the hallway below. Exasperated, Walt tells Jesse that hydrofluoric acid will dissolve many things but not polyethylene. Meanwhile, two Native American children playing in the desert find Walt's gas mask from the previous meth cook.
",https://en.wikipedia.org/wiki/Cat%27s_in_the_Bag...
3,1,3,...And the Bag's in the River,"Walt and Jesse clean up the bloody remains of Emilio while Krazy-8 remains locked up in the basement. While talking with Walt, Krazy-8 reveals that Jesse told him and Emilio about Walt's personal life. Walt then confronts Jesse, while the latter is smoking meth. Jesse angrily berates Walt for not performing his agreed upon task before driving away in a rage. Meanwhile, Skyler tells Marie that she is working on a new short story with a stoner character in it, and she asks her about marijuana. Marie assumes that Skyler thinks Walt Jr. is smoking pot, but Skyler insists that she was just talking about her story. Marie asks Hank to scare Walt Jr. straight, leading him to bring Walt Jr. to a motel to show how meth has corroded the teeth of a prostitute.
Still at Jesse's house, Walt phones Skyler to apologize for still being out late, falsely claiming that he's working over at the car wash. Skyler informs Walt that she knows he quit his job there two weeks previously and angrily tells him to not come home. Walt weighs the pros and cons of killing Krazy-8. While delivering food to him, Walt suffers a violent coughing fit and collapses on the basement floor, the plate holding the food shattering on the concrete floor. After he regains consciousness, Walt sadly reveals to Krazy-8 that he has lung cancer. Feeling a bond with Krazy-8 from their conversation, Walt decides to let him go. While retrieving the key to the bike lock which is holding Krazy-8 captive, Walt realizes that there is a large shard missing from the broken plate, hinting that Krazy-8 obtained it while Walt was unconscious and plans to use it as a weapon. Walt tearfully confronts him, only for Krazy-8 to attack him with the broken piece of plate, forcing Walt to garrote him to death with the bike lock. Krazy-8 manages to stab him in the leg with the shard of plate during the struggle. Walt returns home to find Skyler sitting on the bed crying. He says he has something to tell her.
Meanwhile, Hank and several DEA agents discover the cook site in the desert along with Krazy-8's car. Inside the car, they find the small bag of crystal meth cooked by Walt. The family of Native Americans shares the lab mask the young girl found in the previous episode.
",https://en.wikipedia.org/wiki/...And_the_Bag%27s_in_the_River
4,1,4,Cancer Man,"Hank Schrader and his Drug Enforcement Administration (DEA) team have a meeting over the disappearances of Emilio Koyama and Krazy-8, the latter of whom is revealed to have been their informant. Hank also reports on their discovery of 99.1% pure methamphetamine. Although the DEA had no leads, Hank believes the product is good enough to make whoever produced it Albuquerque's new meth kingpin. Meanwhile, Walt tells Hank, Marie Schrader, and Walt Jr. about his cancer; Skyler White has already been told. Jesse Pinkman smokes Walt's meth with two friends, Skinny Pete and Combo, and flees his house the next morning when he hallucinates that two Mormon missionaries at his door are armed bikers.
Skyler makes an appointment with one of the top oncologists in the country, Dr. Delcavoli, despite the family being unable to afford his service. Walt says he will take the money out of his pension, but secretly uses some of the money taken from Krazy-8 in the desert, which he keeps hidden in an air-conditioning duct at his house. Walt Jr. berates his father for his attitude towards his cancer. When Walt goes to his credit union to put the cash in a cashier's check, his parking spot is stolen by an obnoxious man named Ken. Inside, Ken annoys Walt further with his loud and socially inappropriate cell phone conversation.
Jesse, having fled his house, ends up in the backyard of his affluent parents' house, and falls asleep in his childhood bedroom. He attempts to bond with his overachieving little brother, Jake. That night, Jesse gets a call from one of the friends who smoked Walt's meth, who says that he knows a lot of wealthy people looking to score drugs and are willing to pay top dollar for the high-quality meth he cooked. The next day, Jesse visits Walt at the White residence to discuss their dealings, but Walt angrily rebuffs him and kicks him out. Jesse gives Walt his half of the meth profit ($4,000 in cash) before leaving. The oncologist informs Walt that the cancer has spread to his lymph nodes, but there is a chance it is still treatable with chemotherapy.
At the Pinkman residence, a housekeeper finds a joint in Jesse's room and, believing the joint belongs to him, Jesse's parents banish him from the house. The joint is revealed to belong to Jake, who thanks Jesse for taking the blame for him. While Jesse is waiting for a taxi outside the house, Jake asks for his joint back, to which Jesse responds by destroying it, saying it was of poor quality anyway.
At home, Walt expresses his doubts about the chemotherapy since it will cost $90,000 and if he still dies, he will leave his family with all the debt. Walt Jr. angrily tells Walt he should just die already if he is going to give up so easily. Walt suffers a coughing attack while driving, coughing up blood. As he pulls into a gas station, he notices Ken pulling up as well. When Ken leaves his car unattended, Walt takes a squeegee and shorts the car battery with it. The battery catches fire and explodes as Walt walks back to his car.
",https://en.wikipedia.org/wiki/Cancer_Man_(Breaking_Bad)
5,1,5,Gray Matter,"Walter and Skyler White attend a birthday party for their wealthy acquaintance, Elliott Schwartz. When Elliott offers him a job and tells him that his company Gray Matter Technologies has excellent health insurance, Walt realizes that Skyler told Elliott about his cancer and declines the offer, getting upset with her.
After a failed job interview, Jesse Pinkman shows his friend Badger the RV Walt and Jesse use as a meth lab. In the desert, Jesse is frustrated that the quality of his meth is inferior to that of Walt's and throws his own product away, much to Badger's dismay. Jesse cooks a couple more batches, which he also discards. Badger and Jesse brawl over the wasted meth, and Jesse pushes Badger out of the RV before driving away, leaving Badger stranded in the desert.
Walt Jr. and two friends are waiting outside a convenience store, waiting for somebody to buy them beer. The friends run away when Walt Jr. approaches a policeman. In the police car, the officer tells him he got his ""first and last warning. You're lucky you got a good dad here."" and it is revealed that Hank is sitting in the drivers seat. Skyler holds an intervention for Walt, saying she does not understand why Walt is refusing treatment. Hank Schrader, Walt Jr., and Marie Schrader argue over what to do. While Skyler is worried for her husband and Walt Jr. is angered that his father refuses to take the treatment despite everything he has been through. Marie and later Hank feel Walt should have the choice to decline treatment if he wants. Walt ends the intervention by saying he does not want to spend his last months being too sick to properly enjoy life.
The next morning, Walt has a change of heart and tells Skyler he will do the treatment, and he will take care of Elliott's check. Later, Elliott's wife Gretchen calls, telling him that he has to accept the money. Walt says he appreciates the offer, but lies and says his insurance will now cover it. Walt then goes to Jesse's house and asks him if he wants to cook.
",https://en.wikipedia.org/wiki/Gray_Matter_(Breaking_Bad)
6,1,6,Crazy Handful of Nothin',"Upon his decision to return to the illicit drug business, Walter White and his accomplice Jesse Pinkman come to an agreement: Walt will be the cook and silent partner in their meth operation, while Jesse will sell their product on the street. Walt also demands no further bloodshed. Meanwhile, as Walt's chemotherapy continues, he tells Skyler White that Elliott Schwartz's check came and he deposited it, when in fact he is struggling to pay for the treatment and plans on using his meth profits to cover it. He starts feeling the effects of chemotherapy during class and vomits in the men's room, which Hugo Archilleya, the school janitor, cleans up after him. At a family therapy session, Skyler tells Walt that she is concerned about his missing hours, but he says that he just likes to be alone sometimes and take walks.
While cooking meth, Jesse notices a radiotherapy burn on Walt's chest and realizes he is trying to financially provide for his family before he dies of lung cancer; Walt confirms his suspicions. Jesse finishes their current batch and spends all night selling it, bringing Walt his share of $1,300, far less than he expected. Walt realises they need a distributor; after Krazy-8's death, drug lord Tuco Salamanca has taken over his territory. Jesse obtains a meeting with Tuco after getting his friend Skinny Pete, who served time in prison with  Tuco, to vouch for him. Though Tuco is willing to pay $35,000 for a pound of meth, he insists on paying only after his dealers have completed the sales. When Jesse refuses and attempts to take back the drugs, Tuco severely beats him.
Meanwhile, Hank Schrader traces the gas mask found in the desert to Walt's high school. Hank and Walt take inventory of the chemistry lab to find other equipment missing, leading Hank to suspect that a student obtained a key to the lab storage room. Later, Hank arrests Hugo, who would have had the keys and had a criminal record for drug possession. Walt feels guilty letting Hugo take the blame and tries to contact Jesse, only to learn about his hospitalization. He visits Jesse and learns what happened with Tuco.
Now starting to lose his hair from the chemo, Walt decides to shave his head. Afterward, he arranges for a meeting with Tuco. He introduces himself under the alias Heisenberg, and demands $50,000 from Tuco—$35,000 for the meth he took from Jesse, and $15,000 for beating Jesse. Tuco laughs at Walt for bringing him another bag of meth after his previous batch was stolen, but Walt reveals that the substance he brought is not meth but fulminated mercury. Walt then throws a piece against the ground, causing an explosion that blows out the windows and knocks everyone off their feet. He threatens to throw the whole bag before an incredulous Tuco agrees to the payment. Before leaving, Walt makes a deal with Tuco, promising to give him two pounds of meth a week as long as Tuco pays him upfront. Once back in his car with the money, Walt experiences an intense rush from what he has just done.
",https://en.wikipedia.org/wiki/Crazy_Handful_of_Nothin%27
7,1,7,A No-Rough-Stuff-Type Deal,"Following his meeting with Tuco Salamanca, Walter White meets with Jesse Pinkman, who has put his house on the market due to his trauma from the deaths of Krazy-8 and Emilio. Walt tells Jesse that they will make two pounds of meth a week for Tuco, but Jesse says that doing so is impossible because he won't be able to obtain the needed amount of pseudoephedrine in time. As a result, Walt and Jesse are only able to make half a pound of meth by the time they have their first meeting with Tuco and his henchmen, Gonzo and No-Doze, at a junkyard. Tuco is furious that Walt's end of the bargain was not kept and threatens dire consequences if the next quota is not met. To make up for it, Walt promises to have four pounds of meth ready at the next meeting.
After returning to Jesse's house, Walt tells Jesse that they will manufacture the four pounds of meth using different precursors and gives him a list of chemicals and equipment to buy with Tuco's cash. Jesse manages to obtain everything except methylamine, explaining to Walt that some people offered to steal some from a chemical warehouse and give it to him, but he could not afford to pay them for the job. Walt decides that they will steal the methylamine themselves. That night, Walt and Jesse break into the warehouse and use a bag of thermite to melt the lock on a highly-secured door, allowing them to escape with a drum of methylamine.
Meanwhile, Skyler attempts to return an expensive baby's tiara that Marie gave her at her baby shower, only for the store owner to accuse her of shoplifting and have her detained in a storeroom. Realising Marie stole the tiara, Skyler feigns going into labor, persuading the staff to let her go. Skyler later confronts Marie about the theft, yet she denies having done anything.
The next day, Walt and Jesse find themselves unable to start up the RV, forcing them to cook in Jesse's basement. Unbeknownst to them, a house viewing is happening that day, and they narrowly avoid being caught when one man attempts to see the basement, after which Jesse declares that the house is no longer for sale and demands that everyone leave. Walt and Jesse successfully finish the cook and are able to supply Tuco with 4.6 pounds of meth at their next meeting. Despite its blue hue, it is still the same quality and Tuco pays. When No-Doze makes an offhand remark to Walt, however, an intoxicated Tuco perceives it as an insult and brutally beats him to the ground, terrifying Walt and Jesse. Tuco then tells Walt to meet next week before he and Gonzo, carrying the unconscious No-Doze, drive off.
",https://en.wikipedia.org/wiki/A_No-Rough-Stuff-Type_Deal
8,2,1,Seven Thirty-Seven,"After his purchase of meth from Walter White and Jesse Pinkman,[a] drug kingpin Tuco Salamanca viciously assaults his lieutenant, No-Doze, for speaking to Walt in Tuco’s place. After Tuco departs, Walt calculates the minimum amount of money he will need to provide for his family, concluding that the figure is $737,000. Tuco suddenly returns demanding that Walt save a convulsive No-Doze. Walter performs chest compressions on him to no avail, and No-Doze dies. Tuco tells Gonzo, the other man in his employ, to hide No-Doze's body, and Gonzo complies despite telling Tuco he should receive a Christian burial.
Walt parts ways with Jesse and goes home. Skyler White finds him standing at the television, and he subsequently sexually assaults her, only stopping after Skyler objects multiple times. Meanwhile, Jesse meets with an illegal arms dealer at a hot dog restaurant and purchases a Ruger SP101 handgun. The next day he tells Walt that he believes Tuco poses a threat to them and must be taken care of. Walt points out that shooting him would end badly, and the pair seem despondent. Elsewhere, Skyler refuses to answer phone calls from her sister, Marie Schrader. Marie and her husband Hank argue about whether she attempted to schedule a dinner with Skyler that conflicts with an appointment she has for therapy, revealing that Marie reluctantly goes to therapy for unspecified problems.
At the DEA field office, Hank's partner Steven Gomez shows him footage of two individuals stealing methylamine. The video depicts Walt and Jesse in disguise.[a] Hank disparages their ability as thieves, but is intrigued by the fact that the unknown pair stole methylamine and used thermite to enter the warehouse. Gomez speculates they may be college-aged chemistry students, and Hank believes the two will encounter difficulty from the drug cartels for disrupting the meth trade. Walt becomes worried when he notices an SUV parked near his house and spends the night watching the street. Jesse encourages Walt to also purchase a gun, hoping to ""double their chances"" of success in the event of a shooting. Instead, Walt proposes that they kill Tuco in a more clandestine way, using ricin made from castor beans. Hank visits Skyler and asks her to make up with Marie. Skyler responds angrily, stating that her situation is worse than her sister’s. Hank and Skyler both realize that the other knows about Marie's shoplifting.[b]
Walt and Jesse produce the ricin, hoping to trick Tuco into poisoning himself by placing it in the next meth delivery. As they finish their work, Walt receives a phone call from Hank, who is at a crime scene. Hank says that he screwed up in speaking to Skyler, and Walt forgives him. It is revealed that the crime scene is the junkyard and that Gonzo has accidentally died in a botched attempt to move No-Doze's body. Walt and Jesse panic as they believe that Tuco killed Gonzo, and Walt insists that Jesse leave town.
Walt returns home but avoids answering questions from Skyler. He receives a phone call and goes outside, to find Tuco holding Jesse at gunpoint in his car. Tuco forces Walt to enter the car and drives away.
",https://en.wikipedia.org/wiki/Seven_Thirty-Seven
9,2,2,Grilled,"Having been kidnapped by Tuco Salamanca, Walter White and Jesse Pinkman are held prisoner in a desert hideout where Tuco takes care of his paralyzed and mute uncle, Hector Salamanca. Hector is incapacitated from the neck down and unable to speak, but he can communicate with a desk bell attached to his wheelchair.[a] Tuco explains that Hank Schrader and the DEA have rounded up Tuco's entire organization. Unaware of Gonzo's death, Tuco believes that Gonzo has ratted him out. He intends to keep Walt and Jesse in the compound until his cousins arrive at sunset to take them all across the border to Mexico, where they will cook meth for Tuco 24/7.
Meanwhile, Walt's family has realized he is missing. Hank takes time off to look for Walt. Skyler White is sick with worry and has been distributing handbills with Walt's photo. Marie Schrader, who believes Jesse is Walt's marijuana dealer, pleads with Hank to question Jesse. Hank talks to Jesse's mother, Diane Pinkman. Mrs. Pinkman supplies Hank with information letting him follow the LoJack tracking system in Jesse's car.
At the hideout, Walt poisons Tuco's food with the ricin he has prepared, but Hector observes this and knocks the plate off the table. Tuco realizes Walt and Jesse are plotting something and takes them outside, holding a gun to Jesse's head and forcing Walt to confess to the poisoning. With Tuco distracted, Jesse overpowers him, hitting him in the head with a rock and shooting him in the abdomen with his pistol. When they see a vehicle approaching in the distance, Walt and Jesse quickly crawl into hiding, assuming that it is Tuco's cousins. Hank exits the vehicle and confronts the injured Tuco, who shoots at him, forcing Hank to fatally shoot Tuco in self-defense. Hank begins to investigate the scene as Walt and Jesse silently escape.
",https://en.wikipedia.org/wiki/Grilled_(Breaking_Bad)
10,2,3,Bit by a Dead Bee,"Having gotten away from Tuco Salamanca, Walter White and Jesse Pinkman now have to get home and explain where they have been following their kidnapping.[a] Walt has a plan for both of them and they split up. Walt, pretending to be delirious, goes to a supermarket and takes off all of his clothes while walking through the aisles. He is hospitalized and claims to have no memory of where he has been for the last few days. The hospital is unable to find anything wrong with him, and Walt suggests that it was a combination of medication and chemotherapy that could have caused the episode. The hospital believes Walt is at risk for another fugue state and forces him to undergo a psychiatric evaluation. After receiving assurances regarding doctor-patient confidentiality, Walt tells the psychiatrist that he remembers everything and just wanted to get away for a while. They eventually agree to release him.
Jesse returns to his house to clean out the basement and get rid of the RV where he and Walt have been making methamphetamine. DEA agents locate Jesse and bring him in as a result of Hank Schrader having tracked Tuco and his uncle Hector while looking for Jesse in hopes of finding Walt. Having found evidence of Jesse having been at Tuco's house when Hank killed the latter, they question Jesse about his whereabouts. Jesse claims that he has been with a prostitute, Wendy, for the weekend, a false story backed up by the prostitute. The DEA does not believe Jesse and brings in Tuco's uncle Hector Salamanca to identify Jesse, but Hector shows his disdain for the DEA by refusing to expose Jesse, instead defecating in his wheelchair. With no evidence or witnesses, they let Jesse go. Jesse tries to contact his parents, but they refuse to help him. That night, Walt convinces Jesse to continue cooking meth. Later, Hank gets a present at the station: Tuco's teeth grill.
",https://en.wikipedia.org/wiki/Bit_by_a_Dead_Bee
